id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131860434,Экономист,ДЮКС,Москва,100000,110000,RUR,,,,2026-04-18T10:56:27+0300,https://hh.ru/vacancy/131860434,Высшее экономическое образование. Знание 1С Предприятие / 1С КА. Приветствуется опыт из ритейла/производства. Уверенный пользователь Excel.,Подготовка и анализ регулярной отчётности для субъектов группы. Составление финансовой отчетности. Анализ динамики чистого оборотного капитала с оценкой ликвидности и...
131689588,Экономист,ДЦ Кристал,Москва,,,,,,,2026-04-18T09:31:13+0300,https://hh.ru/vacancy/131689588,"Высшее финансово-экономическое образование. - Знание бухгалтерского учета, понимание всех аспектов финансово-экономической деятельности производственного предприятия. - Знание программ Excel, PowerPoint, 1...",Подготовка отчетности и подтверждающих документов по комплексным проектам организации -получателя субсидии в соответствии с действующими Постановлениями Правительства РФ (ПП 109...
132149955,Экономист,Транспортная техника,Москва,150000,150000,RUR,,,,2026-04-18T09:18:36+0300,https://hh.ru/vacancy/132149955,"Высшее образование в области экономики, финансов, управления. Опыт работы в должности экономист, экономист, главный экономист от 5 лет. ","Подготовка экономических и аналитических отчетов для руководства компании. Формирование управленческой отчетности БДР, БДДС, баланс (месяц, квартал, год). Финансовый и экономический..."
129402754,Экономист,"Авиастар-ТУ, Авиакомпания",Москва,,,,,,,2026-04-18T09:12:09+0300,https://hh.ru/vacancy/129402754,"Высшее образование. Опыт в аналогичной должности от года. Уверенный пользователь ПК, MS Office, 1С Бухгалтерия, 1С Документооборот, Авиабит...","Контроль своевременного поступления полного пакета документов от контрагентов, запрос документов в случае необходимости. Согласование счетов по закрепленным за специалистом контрагентам..."
131637974,Экономист,ГБПОУ Московское училище олимпийского резерва,Москва,,110000,RUR,,,,2026-04-18T08:15:46+0300,https://hh.ru/vacancy/131637974,"Высшее образование в сфере экономики и финансов, бухгалтерского учёта. Знание MS Exсel и 1C бюджет. Отличное знание MS Exсel...","Своевременное отражение информации по учету внебюджетной деятельности (спортивные секции): поступление в разрезе детей/договоров, иных физ. лиц (разовые посещения), отражение..."
131862249,Экономист производства,Greencosmetics,Москва,,,,,,,2026-04-18T11:19:22+0300,https://hh.ru/vacancy/131862249,"Высшее экономическое образование. Опыт работы на производственном предприятии от 2-х лет (желательно FMCG, пищевое производство или косметика). ","Поддержание и актуализация нормативов расхода материалов, трудозатрат, загрузки оборудования и накладных расходов. Формирование и верификация нормативной себестоимости по всему портфелю..."
132154754,Экономист-аналитик,ЭКОС,Москва,120000,,RUR,,,,2026-04-18T10:35:06+0300,https://hh.ru/vacancy/132154754,"Российский производитель и поставщик пищевых добавок и ингредиентов с экологичным жизненным подходом, работаем с 2005 года. - Высшее экономическое / математическое образование. - ","Участие в формировании управленческой отчетности. - Расчет мотивации сотрудников. - Расчет и анализ плановой и фактической себестоимости, расчет рентабельности. - Участие в ценообразовании. - "
132255629,Ведущий экономист,НПО ЛАВОЧКИНА,Москва,,,,,,,2026-04-18T09:36:08+0300,https://hh.ru/vacancy/132255629,"Высшее экономическое образование. Опыт работы не менее 3-х лет. Знание экономического анализа производственной деятельности, анализ и расчет финансово-экономических...",Контроль и анализ фактических затрат. Формирование фактического ценообразования. Калькулирование себестоимости. Анализ и расчет финансово-экономических показателей. Экономический анализ хозяйственной деятельности.
132140862,Экономист,Команда и точка,Москва,110000,130000,RUR,,,,2026-04-17T20:25:24+0300,https://hh.ru/vacancy/132140862,"Работать с Excel / Google Sheets (много, но без фанатизма). — Есть базовый опыт в экономике/финансах. — Уверенно работаешь в Excel или...","Анализировать финансовые показатели клиентов (выручка, маржинальность, расходы). — Собирать и структурировать данные по бизнесу (таблицы, отчеты). — Строить простые финансовые модели. — "
131966623,Экономист,Научно-Производственное Объединение Кайсант,Москва,,,,,,,2026-04-17T19:04:14+0300,https://hh.ru/vacancy/131966623,"Высшее образование по специальности экономика, финансы или менеджмент. Опыт работы экономистом на предприятии промышленности или в организациях, связанных с госзакупками...","Анализировать и контролировать производственные и хозяйственные процессы компании. Составлять и контролировать исполнение бюджета доходов и расходов (БДР), бюджета движения денежных..."
