id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
132153943,Маркетолог,Lioste,Москва,150000,,RUR,,,,2026-04-18T10:21:59+0300,https://hh.ru/vacancy/132153943,"Опыт работы в маркетинге от 2 лет, желательно в премиум сегменте. Высшее образование в сфере маркетинга. Знание современных каналов продвижения...",Разработка и выполнение рекламной стратегии компании. Аналитика конкурентов. Разработка бренд бука. Участие в формирование продуктовой матрица. Организация и проведение мероприятий...
132152961,Маркетолог,Мамонов Иван Александрович,Москва,130000,220000,RUR,,,,2026-04-18T10:06:38+0300,https://hh.ru/vacancy/132152961,Понимает основы и логику маркетинга в B2B. Умеет мыслить системно и видеть связь маркетинга с продажами. ,Стабильный фиксированный доход. Участие в развитии маркетинга компании на стратегическом уровне. Работа в связке с руководством и отделом продаж. 
131977166,Маркетолог,ООД Здоровое отечество,Москва,,,,,,,2026-04-18T09:58:06+0300,https://hh.ru/vacancy/131977166,Высшее образование в сфере маркетинга. Опыт работы в коммерческих проектах от 2 лет. Знание современных маркетинговых инструментов. Опыт ведения социальных...,Разработка и реализация комплексной маркетинговой стратегии компании. Создание коммуникационных планов для всех направлений бизнеса. Анализ рынка и конкурентной среды. 
132151838,Маркетолог,АТРАПАК,Москва,,,,,,,2026-04-18T09:49:22+0300,https://hh.ru/vacancy/132151838,"Образование высшее в сфере менеджмента, проектного менеджмента, маркетинга, управления, экономическое образование. Опыт работы в сфере маркетинга и рекламы, организации процессов...","Изучение и анализ рынка и конкурентной среды, формирование практических рекомендаций коммерческой службе. Обеспечение и организация мероприятий согласно стратегии маркетинга. "
131806318,Маркетолог,Табу,Москва,120000,130000,RUR,,,,2026-04-18T09:24:52+0300,https://hh.ru/vacancy/131806318,,"Комплексное продвижение бренда и реализация маркетинговой стратегии. Разрабатывать и внедрять маркетинговые активности, контролировать их реализацию и анализировать эффективность. "
132149989,Маркетолог,Правовест,Москва,100000,,RUR,,,,2026-04-18T09:19:13+0300,https://hh.ru/vacancy/132149989,Знание базовых правил и стратегий маркетинга для разных аудиторий на рынке. Умение составлять коммерческие предложения. Базовые навыки создания и ведения...,Написание продающих текстов для сайта. Формирование воронки продаж. Подготовка аргументации для ЦА.
130032908,Маркетолог/Digital-маркетолог,ДСК-Столица,Москва,150000,,RUR,,,,2026-04-18T10:01:06+0300,https://hh.ru/vacancy/130032908,Опыт в digital-маркетинге от 3 лет. Уверенные навыки настройки Яндекс.Директ и других рекламных платформ. Понимание специфики B2B...,"Дорабатывать сайт, чтобы увеличить % конверсий (тексты, title, description, картинки). Повышение узнаваемости и лояльности аудитории к бренду ДСК-Столица среди строителей..."
131812651,CRM-маркетолог,Центр Поддержки Семейного Образования,Москва,150000,200000,RUR,,,,2026-04-18T11:25:15+0300,https://hh.ru/vacancy/131812651,"Имеет опыт работы CRM-маркетологом от 3-х лет, обязательно. Опыт в Ed-tech будет решающим преимуществом. ️ Имеет практический опыт...",Ты будешь отвечать за всю стратегию коммуникаций с нашими B2C и B2B-клиентами.  Главная задача: привести...
131533416,Digital - маркетолог,Зотман Хорека,Москва,150000,,RUR,,,,2026-04-18T11:00:22+0300,https://hh.ru/vacancy/131533416,"Опыт работы: от 1 года (коммерческий опыт) на позиции Digital-маркетолога, Интернет-маркетолога. Наличие действующего сертификата «Яндекс.Директ». Внимательность к цифрам...","Формирование федеральной стратегии digital-маркетинга. Контроль и оптимизаций размещения на геосервисах (Яндекс, 2ГИС). Контентное наполнение сайта и приложения. "
131967924,Маркетолог,МакСиз,Москва,200000,,RUR,,,,2026-04-17T22:07:01+0300,https://hh.ru/vacancy/131967924,"Высшее образование. Подтвержденный опыт работы менеджером по маркетингу от 3 лет. Наличие кейсов (каталоги, видеоролики, фотосессии, стенды). Уверенный пользователь ПК...","Участие в подготовке выставок, обучений по продуктам, отраслевых мероприятий. Формирование маркетингового бюджета, контроль и оптимизация. Анализ рынка, конкурентов и потребностей..."
