id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131534713,Системный администратор,Смарт Систем,Липецк,120000,150000,RUR,,,,2026-04-18T11:23:39+0300,https://hh.ru/vacancy/131534713,"Опыт работы: более 1 года. Коммуникабельность, обучаемость. Опыт работы в сфере IT-аутсорсинга желателен, знание ОС Windows Server 2008, 2012...","Обработка инцидентов и заявок по IT-инфраструктуре. Техническая поддержка сотрудников. Обеспечение штатной работы парка компьютерной и офисной техники, сети и..."
131534646,Системный администратор,Макомнет,Москва,,,,,,,2026-04-18T11:22:13+0300,https://hh.ru/vacancy/131534646,Уверенное знание Linux (CentOS/Rocky Linux/Ubuntu) и опыт работы с Unix-системами (HPUX/Sun Solaris будет преимуществом). ,"Администрирование ОС семейства Linux (CentOS, Rocky Linux, Ubuntu) и Unix (HPUX, Sun Solaris). Администрирование ОС семейства Windows (7, 10, 11..."
132256350,Системный администратор,"Красное & Белое, розничная сеть",Нелидово,112000,112000,RUR,,,,2026-04-18T11:07:07+0300,https://hh.ru/vacancy/132256350,Опыт работы в аналогичной должности. Знание офисных и почтовых программ. Опыт программного и аппаратного ремонта. Понимание устройства локальных сетей и...,"Обслуживание ПК и орг. техники, торгового оборудования, систем видеонаблюдения на магазинах торговой сети."
132156942,Системный администратор,АРС Экспресс,Санкт-Петербург,150000,,RUR,,,,2026-04-18T11:09:29+0300,https://hh.ru/vacancy/132156942,"Навыки работы с 1С. Глубокое понимание конфигураций 1С: знание типовых решений («Бухгалтерия», «Управление торговлей», «УНФ», «ЗУП», «ERP») и...","Администрирование 1С: настройка серверов 1С:Предприятие, управление кластерами, оптимизация производительности. Обновление и миграция: планирование и выполнение обновлений релизов..."
131859550,Системный администратор,АПЕКС СЕКЬЮРИТИ,Москва,,200000,RUR,,,,2026-04-18T10:44:46+0300,https://hh.ru/vacancy/131859550,"Виртуализация (Libvirt/KVM, iSCSI). ОС (Windows Server 2012-1019, Windows 7-11, Linux Ubuntu/Debian). Web (Apache, Nginx, Squid). ","Установка, настройка, обслуживание и поддержка cерверов: Windows (2012 — 2019), Linux (Debian, Ubuntu). Поддержка и обслуживание СУБД MS SQL Server. "
131857712,Системный администратор,КИТ Финанс (АО),Санкт-Петербург,,130000,RUR,,,,2026-04-18T10:22:02+0300,https://hh.ru/vacancy/131857712,"Высшее образование (желательно профильное). Опыт работы на аналогичной позиции от 3 лет. Опыт работы с оборудованием CISCO, базовые знание протоколов...","Администрирование сетевой инфраструктуры в соответствии с требованиями информационной безопасности. Внедрение и администрирование активного оборудования Cisco, Usergate (межсетевые экраны, свитчи, роутеры..."
119853641,Системный администратор,Latat,Томск,54000,56000,RUR,,,,2026-04-18T10:13:08+0300,https://hh.ru/vacancy/119853641,"Понимание принципов работы операционных систем (Windows, Linux) и их администрирование. Установка и настройка серверного и сетевого оборудования. Знание протоколов сети...","Техническое сопровождение серверной инфраструктуры, рабочих мест, оргтехники, телефонии. Установка, настройка и оптимизация программного обеспечения. Устранение аварийных ситуаций, связанных с повреждением..."
132153010,Системный администратор,Международный Московский Яхтенный Порт,Долгопрудный (Московская область),80000,,RUR,,,,2026-04-18T10:07:01+0300,https://hh.ru/vacancy/132153010,"Знание семейства ОС Windows на уровне администратора. Опыт работы с системами видеонаблюдения и СКУД. Знания организации СКС, умение диагностировать и...","Техническая поддержка рабочих мест пользователей. Обслуживание оргтехники (замена и контроль наличия расходных материалов, мелкий ремонт). Проверка и организация кабельных соединений..."
131691306,Системный администратор,Мои Юридические Услуги-МФПЦ,Уфа,100000,,RUR,,,,2026-04-18T10:02:16+0300,https://hh.ru/vacancy/131691306,"Ищем сильного IT-специалиста, который сможет одновременно вести инфраструктуру, интеграции и автоматизацию бизнес-процессов. Нужен человек с отличной логикой, инициативным...","Поддержка и развитие серверной инфраструктуры (Linux, systemd, nginx, SSL, резервные копии). - Администрирование и развитие Bitrix24 (воронки, стадии, поля, роботы..."
131856256,Системный администратор,"Асептика, М.К.",Москва,120000,,RUR,,,,2026-04-18T10:02:30+0300,https://hh.ru/vacancy/131856256,"Знание системы ЕГАИС. Опыт работы с оформлением ЭЦП. Опыт работы от 2-х лет. Образование техническое / профильное (высшее, среднее специальное).",Администрирование ЛВС; ПО на локальных ПК. Установка ПО. Оценка критичности возникновения инцидентов при работе ПО. Оптимизация функционирования ПО. 
