id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131981937,Senior Java Developer,Платформа ОФД,Москва,,,,,,,2026-04-18T11:20:46+0300,https://hh.ru/vacancy/131981937,"От 5 лет опыта в промышленной разработке на Java (Java 8+). Глубокое понимание Core Java: Collections, Concurrency, JVM, OOP...","Разрабатывать и поддерживать backend-часть продуктов: ЛК клиента, ЛК партнёра, B2B API, аналитические отчеты. Проектировать и внедрять новые..."
132203076,JAVA Developer,РАСЧЕТНЫЕ РЕШЕНИЯ,Москва,,,,,,,2026-04-17T10:49:38+0300,https://hh.ru/vacancy/132203076,...Java 8 и выше. Опыт разработки с Spring Boot/Cloud/Data/Security. Умение разрабатывать SOAP и REST-сервисы. Опыт разработки...,"Разработка микросервисов, компонентов и БД. Проектирование интеграций (веб-сервисы REST, AMQP, очереди сообщений). Проектирование системной архитектуры. Оптимизация решений. "
132248660,Java-разработчик / Java Developer,Aston,Москва,,,,,,,2026-04-17T16:57:03+0300,https://hh.ru/vacancy/132248660,"современный стек технологий. Опыт работы в роли Java Developer от 3-х лет. Важен опыт работы с ""железом"", в идеале...","Обучение: доступ к корпоративному порталу, митапам, конференциям (и как гость, и как спикер)."
132250547,Java-разработчик,DDPlanet,Москва,,,,,,,2026-04-17T18:03:10+0300,https://hh.ru/vacancy/132250547,"...Java 11+, Spring/Spring Boot/Spark или их аналогов, JPA/Hibernate. Умение работать с любой реляционной СУБД. Опыт разработки...","Работа в Agile команде (программисты, дизайнеры, проектировщики, архитектор). Участие в разработке новых фич, начиная с проработки бизнес-логики и заканчивая..."
132249752,Java-разработчик,Alip group,Краснодар,,,,,,,2026-04-17T17:26:30+0300,https://hh.ru/vacancy/132249752,Опыт работы с реляционными и NoSQL базами данных;.  Опыт самостоятельной разработки (в команде с фронтенд-разработчиком).  Аккуратность: необходимо писать понятный...,"Разработка продукта для анализа финансовой отчетности российских компаний в команде из одного дизайнера и фронтенд-разработчика.  Разработка с нуля, автономная..."
131675088,Java разработчик,НТЦ ЕЭС Информационные Комплексы,Москва,250000,320000,RUR,,,,2026-04-17T16:33:58+0300,https://hh.ru/vacancy/131675088,"Опыт коммерческой разработки на Java от 3-х лет. Уверенные знания Java 8-17 (Collection, Stream API), Spring: (Boot, Web...",Разработка back-end части для веб приложений в составе Agile команды. Участвовать в построении архитектуры проекта. Анализировать и улучшать код. 
131394556,Java-разработчик,Sette,Москва,,,,,,,2026-04-17T15:19:48+0300,https://hh.ru/vacancy/131394556,Опыт коммерческой разработки на Java 8–21 от 3 лет. Уверенное знание платформы Java и её ключевых концепций. ,
132230163,Java-разработчик,Тех Солюшен,Москва,180000,250000,RUR,,,,2026-04-17T10:50:00+0300,https://hh.ru/vacancy/132230163,Опыт коммерческой разработки на Java от 4 лет. Практический опыт в проектах с микросервисной архитектурой. Участие в рефакторинге Legacy-систем. ,"Система автоматизации принятия решений (СМБ). Backend: Java (Core, Collections, Stream API/Lambda, Java 11+). Фреймворки: Spring (экосистема). "
132226498,Java-разработчик,СТЭП ЛОДЖИК (STEP LOGIC),Москва,,,,,,,2026-04-17T09:43:11+0300,https://hh.ru/vacancy/132226498,Опыт работы разработчиком ПО от 5ти лет. Опыт разработки на языке Java от 3х лет. Опыт разработки с...,"...разработка программного обеспечения с использованием языка Java, Фреймворк Spring. Поддержка существующего ПО. Взаимодействие в команде с использованием средств командной разработки. "
131677195,Junior Java-разработчик,Gridnine,Москва,,,,,,,2026-04-17T17:18:31+0300,https://hh.ru/vacancy/131677195,Базовое знакомство с Java SE (от 6 месяцев изучения). Знание основ ООП. Знакомство с принципами тестирования ПО. Знание английского языка...,Написание изолированных и интеграционных тестов с использованием Junit и других технологий. Разработка и сопровождение решений на базе Java-платформы. 
131500031,Lead Java - разработки,СберЛизинг,Москва,,,,,,,2026-04-17T14:14:30+0300,https://hh.ru/vacancy/131500031,Java 17. Spring Framework. SpringBoot. PostgreSQL. Hibernate. Junit. TestContainers. Kafka. Liquibase. K8s. Docker.,Разрабатывать задачи для автоматизации кредитного процесса. Развивать экспертизу backend - разработки. Участвовать в разработке продукта для кредитования малого бизнеса. 
132248396,Java разработчик (SberUserSoft),СБЕР,Москва,,,,,,,2026-04-17T16:48:10+0300,https://hh.ru/vacancy/132248396,"Java 17 Core, использование новых конструкций языка. Java EE/Jakarta: JSF, EJB, JPA, Jax-RS, Jax-WS. Разработка unit-тестов. ","Разрабатывать приложение на Java EE. Создавать интерфейсы и фронтенд-решения с применением JavaScript, HTML5, CSS3. Участвовать в code..."
132238441,Разработчик Scala/Java,Фирма Инфокрипт,Москва,70000,180000,RUR,,,,2026-04-17T13:43:50+0300,https://hh.ru/vacancy/132238441,"Опыт программирования на Scala, Java или других языках под JVM. Знакомство с веб-разработкой, принципами работы веб-сервисов. ","Общение с аналитиками заказчика. Доработка существующих и разработка новых модулей. Изучение и внедрение новых технологий, рефакторинг старых. Работа как в..."
132236066,Java разработчик (ученик),Aston,Москва,60000,,RUR,,,,2026-04-17T12:53:13+0300,https://hh.ru/vacancy/132236066,Законченное высшее или среднее специальное (профильное) образование. Базовые знания Java. Знание что такое Git и как с ним работать. ,
132228580,Разработчик Java (Junior+),МТС Банк,Москва,,,,От 1 года до 3 лет,Не указана,Не указан,2026-04-17T10:21:22+0300,https://hh.ru/vacancy/132228580,,"МТС Банк – одно из ключевых направлений экосистемы МТС. Мы используем современные цифровые решения и развиваем технологичные банковские сервисы, доступные каждому. Наши команды совершенствуют финтех-продукты для В2В и В2С. Сейчас мы в поиске Разработчика Java (middle) в Стрим Нецелевое кредитование. Команда “Развитие продукта” занимается дополнительными сервисами для кредитных продуктов — страховки, комфортная ставка, управление кредитом. Постоянно разрабатываем новые и развиваем существующие технологии и продукты. Наши команды - это любящие свое дело профессионалы, где каждый сотрудник вовлечен в процесс и ощущает свой вклад в общее дело. СТЕК ТЕХНОЛОГИЙ : Java 17 Spring Kafka PostgreSQL Gitlab CI Kubernetes Atlassian (JIRA, Confluence) Ты будешь: разрабатывать и поддерживать микросервисы на Java 17+ (Spring Boot) участвовать в развитии архитектуры сервисов: от постановки задач до внедрения работать с технологическим стеком: Kafka, PostgreSQL, Kubernetes, Gitlab CI проводить code-review, участвовать в разборе инцидентов и развитии технических процессов в команде взаимодействовать с аналитиками, архитекторами, тестировщиками и другими разработчиками Что для нас важно: опыт профилирования Java-приложений от 1-1.5 лет опыт реализации сервисов в рамках микросервисной архитектуры понимание внутреннего устройства Spring Framework опыт участия в принятии архитектурных паттернов и решений опыт участия в разборе инцидентов"
132214196,Junior Java Developer,Гуфо,Москва,70000,100000,RUR,,,,2026-04-16T17:14:49+0300,https://hh.ru/vacancy/132214196,"Java 8+, Spring, Hibernate JPA, PostgreSQL, Git, JUnit, Kafka, Maven/Gradle. Плюсом будет: Docker, Kubernetes, CI/CD, Keycloak, микросервисы. ","Мы — небольшая команда, которая разрабатывает собственную CRM-систему и внутренние сервисы для автоматизации процессов. Разрабатывать и улучшать модули нашей CRM. "
131927018,Java-разработчик,РТК-СОФТ,Москва,,,,,,,2026-04-16T17:16:09+0300,https://hh.ru/vacancy/131927018,"1. Опыт enterprise разработки/разработки высоконагруженных сервисов на Java от 5 лет. 2. Отличные знания Java Core OOP, Concurrency/Multithreading...",1. Разработка сложных высоконагруженных программных продуктов. 2. Поддержка и модернизация существующих решений. 3. Участие во всем процессе разработки - от проектирования...
132090555,Java-разработчик,Агропромцифра,Москва,,,,,,,2026-04-16T16:33:37+0300,https://hh.ru/vacancy/132090555,"Опыт коммерческой Java-разработки уровня Middle+ / Senior. Опыт работы с высоконагруженными сервисами, где важны производительность и надежность интеграций. Java 21...",Разработка и развитие функциональности микросервисов на Java 17/21. Проектирование отказоустойчивой архитектуры и реактивных API (Spring WebFlux). Реализация интеграционных сценариев...
132212477,Разработчик Java,Bell Integrator,Москва,,,,,,,2026-04-16T16:39:46+0300,https://hh.ru/vacancy/132212477,"Hibernate. Junit. Опыт работы от 3-х лет. Уверенные знания Java core, Spring framework (web, security, data jpa, cache, test...",Разработка задач автоматизации кредитного процесса. Развитие экспертизы backend разработки. Участие в разработке продукта для кредитования малого бизнеса. Формирование и внедрение...
132207823,Senior java developer,Московская Биржа,Москва,,,,,,,2026-04-16T15:09:43+0300,https://hh.ru/vacancy/132207823,От 5 лет опыта разработки на Java. Хорошее знание фреймворка Spring. Опыт написания многопоточного кода. Знания в области автоматизированного тестирования...,"Реализация решений в области финансовых технологий, цифровых активов и блокчейн. Создание качественных и масштабируемых решений. Быстрое прототипирование и оперативное внесение..."
131836133,Java-разработчик,TechSearch,Москва,,,,,,,2026-04-16T14:13:09+0300,https://hh.ru/vacancy/131836133,Коммерческий опыт разработки на Java от 2 лет. Опыт разработки backend-сервисов. Опыт работы со Spring / Spring Boot. Опыт разработки...,Разрабатывать и поддерживать backend-сервисы на Java. Проектировать и реализовывать REST API. Участвовать в разработке микросервисной архитектуры. Работать с базами...
