id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131978902,Аналитик данных,Медиабюро Статус презенс,Москва,120000,150000,RUR,,,,2026-04-18T10:27:56+0300,https://hh.ru/vacancy/131978902,"Высшее образование. Аналитический склад ума, внимательность к деталям. Умение работать с большими объемами информации. Коммуникативные навыки для взаимодействия с отделами...","Организация сбора данных из внутренних и внешних источников: CRM (Bitrix24), финансовых систем. Настройка автоматизированных процессов выгрузки и загрузки данных..."
131232738,Аналитик данных,Aviasales.ru,Москва,,,,,,,2026-04-18T07:11:59+0300,https://hh.ru/vacancy/131232738,"Опыт в дата или продуктовой аналитике от трех лет. Высокий уровень написания SQL-запросов (джоины, окошки, оптимизация запросов). ","...новые инструменты для всех аналитиков в компании, искать новые подходы в решении задач. Искать аномалии в данных и выяснять причины..."
129509955,Аналитик данных/Аналитик BI,СИНЕРГИЯ,Москва,,,,,,,2026-04-18T09:00:23+0300,https://hh.ru/vacancy/129509955,"Высшее образование. Опыт работы на позиции Аналитика / BI-аналитика от 2-х лет. Продвинутое знание SQL (оконные функции, оптимизация запросов...","Разработка и внедрение общей стратегии BI в компании. Выбор и внедрение инструментов бизнес-аналитики (Power BI, Tableau, Qlik). "
132252626,Аналитик данных,"Алабуга, ОЭЗ ППТ",Елабужский район,127500,,RUR,От 1 года до 3 лет,Не указана,Не указан,2026-04-17T19:40:22+0300,https://hh.ru/vacancy/132252626,,"ВАКАНСИЯ С ПЕРЕЕЗДОМ В РЕСПУБЛИКУ ТАТАРСТАН Обязанности: Заполнение Excel таблиц; Работа с базами данных; Обработка данных на python. Требования: Ведение баз данных (Postgres, DBeaver); Опыт работы аналитиком; Опыт обработки и визуализации данных на python; Работа в MS Office; Знание рython (pandas, plotly, matplotlib, seaborn). Условия: Конкурентный уровень з/п (обсуждается индивидуально); Дневная рабочая неделя 5/2 (ненормированная); Работа в крупной и стабильной компании – в структуре самой большой ОЭЗ в Европе; Транспорт до работы из г. Елабуга, г. Набережные Челны, г. Нижнекамск; Полис добровольного медицинского страхования; Предоставление платного жилья для иногородних; Гарантия профессионального роста; Амбициозная, проектно-ориентированная команда; Командные и спортивные игры, реализация нестандартных задач; Карьерный рост при наличии и обретении в процессе работы необходимых компетенций."
132252342,Аналитик данных,Альфа-Банк,Москва,,,,,,,2026-04-17T19:04:21+0300,https://hh.ru/vacancy/132252342,"Опыт работы аналитиком в банке от 1 года. Высокий уровень владения SQL, опыт работы с БД Oracle, GreenPlum, ClickHouse, Vertica. ","Развитие аналитической отчетности по направлению реферальной программы Альфа Банка: клиенты, затраты, метрики качества. Проведение исследований и разработка моделей повышения эффективности..."
132248558,Аналитик данных,100балльный репетитор,Москва,,,,,,,2026-04-17T16:53:18+0300,https://hh.ru/vacancy/132248558,Опыт в маркетинге и/или edtech. Python + библиотеки для обработки и трансформации данных. Опыт настройки etl-процедур. ,"Настроить с нуля коммерческую аналитику на новом продукте. Анализировать маркетинговые и коммерческие показатели на основе витрин данных, формировать аналитические выводы..."
132244662,Аналитик данных,ГУП Московский социальный регистр,Москва,,,,,,,2026-04-17T15:36:24+0300,https://hh.ru/vacancy/132244662,"Высшее математическое, техническое образование. Опыт работы с большими массивами данных. Уверенное владение SQL и Python. Знания теории вероятностей, математической статистики...",Организовывать процессы очистки и валидации данных. Находить закономерности в наборах данных. Разрабатывать методологии для моделирования и визуализации данных в соответствии...
132242191,Аналитик данных,М.Видео-Эльдорадо,посёлок городского типа Новоивановское,,,,От 3 до 6 лет,Не указана,Не указан,2026-04-17T14:51:50+0300,https://hh.ru/vacancy/132242191,,"«М.ТЕХ» - АККРЕДИТОВАННАЯ ИТ-КОМПАНИЯ В ГРУППЕ «М.ВИДЕО-ЭЛЬДОРАДО». КОМАНДА «М.ТЕХ» разрабатывает более 100 инновационных ИТ продуктов на основе современной микросервисной и облачной инфраструктуры, больших данных, биометрии, ИИ и машинного обучения для улучшения качества жизни десятков тысяч сотрудников и миллионов покупателей по всей России. МЫ В ПОИСКЕ АНАЛИТИКА ДАННЫХ С НАМИ ТЫ БУДЕШЬ: Собирать и анализировать требования; Работать с данными: Сбор, обработка и контроль качества данных с использованием SQL (базовые запросы, join-ы, фильтрация) и Excel; ​​​Создавать витрины данных и дашборды; Документирование: ведение базы знаний в Confluence: описание логики расчетов и инструкций по работе с новыми источниками данных. ДЛЯ НАС ЦЕННО: Опыт работы аналитиком данных от 3х лет; Знание SQL (временные таблицы, оконные функции и т.д.); Опыт оптимизации запросов; Знание принципов работы БД; Навыки выстраивания эффективных коммуникаций внутри и между командами; Навыки самостоятельной работы с технической документацией по проект КОГДА ТЫ С НАМИ: Мы предоставляем продукты, признанные на рынке (несколько премий за Лучший Интранет, хит-парад премий за лучшее ИТ-решение в ритейле) и имеющие амбициозные планы на развитие; Получаешь скидки и специальные предложения компаний-партнёров; Получаешь подписку М.Комбо – пакет привилегий: ежемесячные бонусные рубли, бесплатная доставка, скидки на установку/ремонт, приоритетную поддержку; Ведем конструктивный диалог и даем возможность внедрять свои идеи, если они способствуют достижению общего результата; У тебя будет команда увлеченных профессионалов, которая открыта к поиску нового; Мы предлагаем конкурентную заработную плату, гибкое отношение к рабочему месту (посещение офиса в Москве на гибриде (Сколково, БЦ Орбион), но ты можешь работать удаленно из любой точки РФ); Предоставляем ДМС со стоматологией."
132239636,Аналитик данных,Мрия (Mriya Resort),село Оползневое,,,,От 3 до 6 лет,Не указана,Не указан,2026-04-17T14:05:47+0300,https://hh.ru/vacancy/132239636,,"Представляем вам уникальную возможность стать частью дружной команды МРИИ – самого престижного курорта Крыма, расположенного в живописном месте на берегу Черного моря с потрясающим видом и 300 солнечными днями в году. Входим в экосистему СБЕРА. В связи с расширением компании мы приглашаем на работу Аналитика данных. Что мы предлагаем: Официальное трудоустройство по ТК РФ. График работы: 5/2. Премирование по итогам года. Корпоративное жилье или компенсация проживания для иногородних. Компенсация переезда после прохождения испытательного срока (3 месяца). Корпоративный транспорт до работы и обратно (Ялта, Большая Ялта, Севастополь). Бесплатное питание в корпоративном ресторане. Очное и онлайн-обучение, программы развития талантов, корпоративная библиотека. Активная корпоративная жизнь: мероприятия, экскурсии и походы по Крыму, клубы по интересам, тренировки по 13 видам спорта (большой и настольный теннис, бассейн, фитнес, йога, кроссфит, футбол, волейбол, баскетбол и др.). Специальные предложения на проживание и другие услуги и товары комплекса. Вознаграждение за рекомендацию друзей в команду Мрии. Корпоративные продукты Сбербанка в части ипотеки - льготное кредитование или рефинансирование. Специальные предложения для сотрудников от партнеров компании и многое другое! Ключевые задачи: Самостоятельный сбор и анализ требований бизнес-заказчиков. Фиксация требований в виде спецификации на отчет/витрину данных в Confluence. Разработка и поддержка дашбордов и регулярной отчётности по ключевым показателям деятельности в BI-системах. Поддержка актуальности существующих отчетов и дашбордов. Участие в развитии каталога данных, контроль качества данных. Оказание поддержки пользователям при работе с аналитическими отчетами и инструментами. Пожелания к кандидату: Уверенное знание SQL. Опыт работы с BI-системами (Power BI, Qlik Sence, Visiology, Навигатор) на уровне внедрения и поддержки. Понимание принципов работы DWH, ETL/ELT-процессов. Знание основ статистики и методов анализа данных. Знание Python для анализа данных будет преимуществом. Знание основ ведения Каталога данных (OpenMetadata, DataHub или аналоги). Навыки визуализации данных, коммуникации и презентации результатов. Внимание к деталям, аналитическое мышление, умение работать в команде. Если вы ищете интересную работу в стабильной и развивающейся компании, присоединяйтесь к МРИИ! Мы будем рады видеть вас в нашей команде."
132239260,Аналитик данных,Волга-Днепр Техникс Москва,Москва,,,,,,,2026-04-17T14:00:15+0300,https://hh.ru/vacancy/132239260,"Знание одного из языков программирования Python (очистка / обработка данных), SQL обязательно. Опыт работы с базами данных (Access, SQL Server), Powerpoint.",...анализа больших объемов данных. Автоматизация сбора данных по дистрибуции - разработка и внедрение автоматизированных средств для извлечения данных из различных источников...
132229228,Аналитик данных,ГБУ Информационно-Консультационный Центр Департамента Культуры Города Москвы,Москва,140000,,RUR,,,,2026-04-17T10:33:16+0300,https://hh.ru/vacancy/132229228,"Законченное высшее образование (информатика + экономика, математика, IT и т.п.). Продвинутый уровень Excel (ВПР, сводные таблицы и т.д.). ","...и обработки данных: мониторинг, проверка, техподдержка. Формирование и обработка электронных документов. Приведение к корректному виду большого количества данных. "
132252136,Аналитик внешних данных,РСХБ-Интех,Москва,,,,,,,2026-04-17T18:43:50+0300,https://hh.ru/vacancy/132252136,Высшее образование. Опыт исследования рынка и анализа бизнес-процессов в финансовом секторе/ консалтинге. Аналитическое мышление и умение систематизировать информацию. ,...источников внешних данных и формирование предложений по сценариям использования внешних данных в процессах Банка. Взаимодействие с поставщиками внешних данных. 
131415425,Аналитик хранилищ данных,Datanomica,Москва,,,,,,,2026-04-17T13:58:10+0300,https://hh.ru/vacancy/131415425,"Middle/Middle + в системном анализе. Знание SQL, понимание XML и json. Грамотная устная и письменная речь. Проактивность. ",Сбор требований к продукту для построения ETL-процессов. Проектирования DWH-сервисов – фичей фреймоврка для построения ETL процессов на таких стеках...
131532329,Системный аналитик,UFS.travel,Москва,,300000,RUR,,,,2026-04-18T10:39:07+0300,https://hh.ru/vacancy/131532329,"Понимание форматов данных XML, JSON, знание что есть API. Знание языка запросов SQL, основ реляционных баз данных. Приветствуется опыт прототипирования. ","Сбор, анализ, согласование и формализация требований бизнес-заказчика, а также проработка с нуля биллинговой части системы. Проводить аудит существующей системы..."
131858833,Системный аналитик / Бизнес-аналитик,Адакта,Москва,,200000,RUR,,,,2026-04-18T10:35:51+0300,https://hh.ru/vacancy/131858833,Имеешь опыт работы в IT / страховании в качестве бизнес или системного аналитика. Хорошо знаешь бизнес-процессы в сфере страхования. ,Анализом бизнес-процессов заказчика. Сбором и формализацией бизнес-требований в непосредственном контакте со специалистами заказчика. Подготовкой технической документации на доработку...
132154754,Экономист-аналитик,ЭКОС,Москва,120000,,RUR,,,,2026-04-18T10:35:06+0300,https://hh.ru/vacancy/132154754,"Навыки сбора, обработки и анализа большого массива данных. - Отличное знание Excel (ВПР, сводные таблицы, сложные формулы). - Опыт работы в программе...","Участие в формировании управленческой отчетности. - Расчет мотивации сотрудников. - Расчет и анализ плановой и фактической себестоимости, расчет рентабельности. - Участие в ценообразовании. - "
130818971,Аналитик данных (офис),СИНЕРГИЯ,Москва,,,,,,,2026-04-17T12:21:46+0300,https://hh.ru/vacancy/130818971,Документация: Confluence / Jira или аналоги (желательно). Опыт работы бизнес‑аналитиком или техническим менеджером в аналитике от 2 лет. ,"Участие в разработке и улучшении BI‑решений совместно с аналитиками/разработчиками. Анализ источников данных, понимание реляционных БД и связей между..."
131776610,Аналитик данных маркетплейсов,Шаг к Моде,Москва,,,,,,,2026-04-17T11:56:06+0300,https://hh.ru/vacancy/131776610,"Опыт разработки отчетов и дашбордов в Power BI. Владение Excel на продвинутом уровне (Power Query, сводные таблицы, сложные формулы). ","Выявление инсайтов и закономерностей в данных, подготовка рекомендаций для роста ключевых показателей. Участие в развитии системы бизнес‑аналитики компании."
128526341,"Аналитик данных, Реклама",Ozon,Москва,,,,,,,2026-04-17T11:43:05+0300,https://hh.ru/vacancy/128526341,Опыт работы в продуктовой аналитике данных или Data Science от 2 лет. Сильный и уверенный Python. Уверенный SQL. ,"Проводить АБ тесты для проверки гипотез. Заниматься полным фулстек подходом к разработке аналитики: поиск источников, написание ETL, агрегация, обработка, создание..."
132231358,Аналитик данных (MedTech),Правительство Москвы,Москва,,,,,,,2026-04-17T11:12:27+0300,https://hh.ru/vacancy/132231358,"Готовность учиться новому: работать с таблицами, осваивать базовые принципы статистики и анализа данных. Навыки работы с медицинской документацией (ЭМК, протоколы...","Анализ медицинских карт и данных электронных историй болезни для выявления дефектов оказания помощи (как ретроспективно, так и в режиме реального..."
132048210,Финансовый аналитик,Спайнмедикс,Москва,,,,,,,2026-04-18T09:09:32+0300,https://hh.ru/vacancy/132048210,"Высшее образование (математика, финансы, экономика). Опыт работы аналитиком в коммерческих компаниях от 3-х лет. Аналитический склад ума, внимательность, умение...",Участие в автоматизации учета основных показателей и данных. Участие в планировании и бюджетировании деятельности. Участие в управлении кредитным портфелем компании. 
131758015,Аналитик данных,"ТрансМашХолдинг, Группа компаний",Москва,,,,От 3 до 6 лет,Не указана,Не указан,2026-04-16T19:05:16+0300,https://hh.ru/vacancy/131758015,,"Мы - уже 22 года динамично развиваемся и обеспечиваем холдинг товарно-материальными ценностями, сырьем и оборудованием. Наша миссия - оперативно снабжать заводы всем необходимым для бесперебойной работы и производства подвижных составов, локомотивов для этого мы ищем кандидата на вакансию аналитика цен в офисе . В договоре должность - главный специалист. ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ: Анализ калькуляций себестоимости закупаемой продукции в части материальных затрат, ФОТ, накладных расходов. Факторный анализ причин изменения себестоимости. Настройка и подготовка отчетности, справочных материалов, аналитических записок, презентаций, динамик по показателям с анализом трендов и критических отклонений по вопросам ценообразования. Мониторинг показателей по процессам, построение визуализации и отчетности в Excel, Power BI. Участие в проектах по автоматизации и цифровизации финансово-экономической деятельности. Подготовка технических заданий для формирования отчетности в 1С. Анализ бизнес-процессов, подготовка предложений по их оптимизации. НАМ ВАЖНО НАЛИЧИЕ: Высшего образования (экономическое/ инженерно-экономическое) Опыт работы в области финансового анализа или смежной деятельности от 3 лет Опыт конфигурирования и формирования отчетных данных в 1С (ERP)​​​​​​​ Уверенное владение Excel (формулы, сводные таблицы, макросы) Опыта анализа данных и подготовки аналитических отчетов (Excel и тд) Навыка работы с ERP-системами (желательно 1С ERP) Уверенное владение PowerPoint Опыт работы в Power BI по визуализации данных и интерактивных отчетов Владение справочно-правовыми системами Консультант Плюс, Гарант Огромный плюс: знания по основам проектного управления, участие в проектах по автоматизации. Личных качеств: аналитический склад ума, умений четко и ясно отражать результаты анализа устно и письменно, внимание к деталям. МЫ ПРЕДЛАГАЕМ: ✅ Стабильность: - Конкурентная «белая» зарплата + регулярные квартальные премии (40-60% от оклада). - Соц. пакет: ДМС после испытательного срок, материальная помощь по определенным случаям. ✅ Поддержка семьи: - Дополнительные оплачиваемые дни отпуска: 1 сентября (для родителей первоклашек), рождение ребенка (для отцов), свадьба. - График 5/2 (с 9:00 до 18:00) в офисе , рядом с м. Белорусская (~ 10 минут пешком) ✅ Развитие и комфорт: - Обучение за счет компании (курсы, электронная библиотека для всей семьи, вебинары). - Участие в обработке данных компании и в проектах - профессиональный рост гарантирован! - Дружный коллектив и спортивные мероприятия, где рады видеть вас и ваших близких. Мы создаем среду, где можно совмещать карьеру и развитие. Если вы ответственный специалист, готовый расти вместе с нами, - ждем ваше резюме!"
132235835,Аналитик данных 1С,МКК Русзаймсервис,Москва,,,,,,,2026-04-17T12:47:38+0300,https://hh.ru/vacancy/132235835,"Опыт работы аналитиком / BI-аналитиком от 1 года. Уверенные навыки работы с 1С: Понимание структуры данных (регистры, документы, справочники). ","Формирование оперативной отчетности по направлению взыскания на основе данных из 1С. Извлечение, обработка и анализ данных из 1С..."
130635779,Младший бизнес-аналитик,Gridnine,Москва,,,,,,,2026-04-18T11:12:06+0300,https://hh.ru/vacancy/130635779,Понимание бизнес-процессов и опыт их моделирования. Навыки сбора и анализа данных. Умение формировать требования и технические задания. ,"Сбор и анализ данных о бизнес-процессах компании. Конфигурирование и настройка бизнес-процессов, отладка и внесение изменений. Описание и документирование..."
