id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131696810,SMM-менеджер,Цифровые легенды,Москва,,,,,,,2026-04-18T11:26:43+0300,https://hh.ru/vacancy/131696810,Навыки работы в Figma. Опыт работы SMM-менеджером от 2 лет (обязательно с подтвержденными кейсами). Опыт работы в развлечениях / медиа...,B2C направление: продвижение шоу «Высоцкий. Высота». B2B направление: продвижение экспертизы компании. Аналитика и управление.
131811193,SMM-менеджер,Помощь заёмщикам Finance Expert,Пермь,90000,110000,RUR,,,,2026-04-18T10:57:30+0300,https://hh.ru/vacancy/131811193,"Умение писать тексты живо и с эмпатией – так, как написал бы другу, а не «уважаемый клиент», без шаблонов и клише. ","Работать в CRM Bitrix24 (задачи, рабочие чаты). Составлять и выполнять контент-план: рубрики, форматы, дедлайны по всем площадкам. "
132048401,SMM-менеджер,Tkani.Land,Москва,90000,,RUR,,,,2026-04-18T10:06:51+0300,https://hh.ru/vacancy/132048401,"Опыт работы от 1 года в SMM. Вы умеете красиво снимать фото и видео на телефон, не стесняетесь камеры. ","Разрабатывать вовлекающий контент-план для соц.cетей. Создавать цельную контент-систему с удержанием внимания аудитории через структуру, стиль и динамику. "
131528318,SMM-менеджер,Хоум пицца и суши,Екатеринбург,40000,,RUR,,,,2026-04-18T09:21:53+0300,https://hh.ru/vacancy/131528318,"Что НЕ нужно делать: Постить ради контента. Выстраивать живой, грамотный, современный стиль. С опытом в аналогичном по структуре бизнесе (услуги...",Вести соцсети сети как единый бренд. Передавать атмосферу концепции. Усиливать узнаваемость в городе. Работать с охватами и вовлечённостью. 
131525159,SMM-менеджер,МИСТЕР АНТ kids,Тверь,70000,90000,RUR,,,,2026-04-18T07:51:12+0300,https://hh.ru/vacancy/131525159,"Опыт в SMM от 2–3 лет. Понимание алгоритмов соцсетей. Умение работать с метриками (охваты, ER, просмотры). Системность и ответственность.",Вести социальные сети компании. Разрабатывать контент-план и работать по нему. Предлагать идеи и рубрики. Работать с комментариями. 
132144638,SMM-менеджер,Velur,Тюмень,30000,,RUR,,,,2026-04-18T06:29:56+0300,https://hh.ru/vacancy/132144638,,
132254713,SMM-менеджер,Пинегина Мария Анатольевна,Хабаровск,25000,,RUR,,,,2026-04-18T06:24:01+0300,https://hh.ru/vacancy/132254713,"Анализировать, что заходит / не заходит. * Понимание, что SMM = продажи, а не просто “красиво”. * Умение быстро делать и тестировать гипотезы. * ","Вести соцсети (контент, сторис, базовый монтаж). * Придумывать и реализовывать идеи, которые привлекают трафик в офлайн. * Снимать простой контент в магазине..."
132111338,SMM менеджер,БайкалТрейдерГрупп,Иркутск,20000,,RUR,,,,2026-04-18T06:03:25+0300,https://hh.ru/vacancy/132111338,Готовность быть всегда онлайн и пользоваться соц.сетями 24/7. Готовы приезжать в парк отель 2 раза в меяц. ,Создание и публикация постов минимум в 3-х. Аккаунтах/пабликах в социальных сетях. Создание сторис и поддержание коммуникации. 
131978986,"SMM-менеджер, контент-менеджер",Инициум,Москва,,,,,,,2026-04-18T10:29:25+0300,https://hh.ru/vacancy/131978986,"Отличный русский язык (письменный и устный) — грамотно, живо, без канцелярита. Небольшой практический опыт: запуск или ведение хотя бы одного канала...","Вести и развивать с нуля Telegram-канал, профиль ВКонтакте, YouTube Shorts / Rutube, Дзен и пр. Готовить и публиковать регулярный контент..."
131630508,"SMM / Telegram, Max-менеджер",Верните налог,Москва,,,,,,,2026-04-18T10:45:45+0300,https://hh.ru/vacancy/131630508,Умение писать просто и понятно. — Базовое понимание маркетинга. — Желание развиваться. — Ответственность. Будет плюсом: — опыт в Telegram. — опыт в нише недвижимости...,"Компания «Верните налог» — сервис налоговой поддержки физических лиц. ""Верните налог"" — одна из ТОПовых компаний в области возврата налогов для физических..."
131435425,SMM-менеджер,Произведение Девелопмент,Владикавказ,,,,,,,2026-04-17T22:44:18+0300,https://hh.ru/vacancy/131435425,"Опыт ведения SMM от 3 лет, желательно в сегменте недвижимости, девелопмента или премиальных услуг (B2C с высоким чеком). ","Стратегия и контент: разработать и реализовать SMM-стратегию компании. Отвечать за визуальный стиль, упаковку бренда в соцсетях. Создавать контент, который..."
132253092,SMM-менеджер,Благотворительный фонд Бумажная птица,Санкт-Петербург,60000,70000,RUR,,,,2026-04-17T21:13:43+0300,https://hh.ru/vacancy/132253092,,"Участвовать в разработке и реализации новой SMM-стратегии. Помогать делать проекты, которые выходят за рамки соцсетей. Работу со смыслом, а..."
131534028,SMM-менеджер в стоматологическую клинику,Дентари,Москва,80000,85000,RUR,,,,2026-04-18T11:10:17+0300,https://hh.ru/vacancy/131534028,"Опыт SMM 1–3 года, портфолио с кейсами в beauty/medicine (желательно). Знание трендов, сторителлинга, нейросетей для контента; навыки Photoshop...","Разработка контент-плана с фокусом на сторителлинг о процедурах, отзывах пациентов и процессе работы клиники и докторов. Создание постов, Reels..."
