id,name,salary_from,salary_to,salary_currency,salary_avg,employer_name,employer_url,experience,employment,schedule,requirement,responsibility,published_at,url
131526946,Старший Python-разработчик,,350000.0,RUR,350000.0,МФК Фордевинд,https://api.hh.ru/employers/2568479,Более 6 лет,,,Опыт коммерческой разработки от 5 лет. Умение работать с системой контроля версий Git. Хорошее владение Python: умение писать чистый читаемый...,"Тестирование и отладка разработанного кода, ведение документации. Помощь в <highlighttext>разработке</highlighttext> backend-а микросервисных web-приложений. Участие в принятии технических решений...",2026-04-18T08:52:56+0300,https://hh.ru/vacancy/131526946
130522467,Middle+ / Senior Python разработчик,130000.0,290000.0,RUR,210000.0,RedLab,https://api.hh.ru/employers/4614421,Более 6 лет,,,"Коммерческий опыт разработки на Python от 3 лет (Senior — от 5). Отличное знание Python 3.8+, понимание асинхронного программирования...",<highlighttext>Разработка</highlighttext> backend-сервисов на <highlighttext>Python</highlighttext> с использованием современных фреймворков. Проектирование микросервисной архитектуры и API (REST/gRPC). Интеграция с внешними и...,2026-04-18T11:55:22+0300,https://hh.ru/vacancy/130522467
131799270,Python Developer Middle+,1800.0,4000.0,EUR,2900.0,AbeloHost B.V.,https://api.hh.ru/employers/9854481,От 3 до 6 лет,,,"Python 3.10+ (3+ лет коммерческого опыта). Уверенная работа с async (asyncio, httpx / aiohttp). Опыт разработки API (FastAPI). ",<highlighttext>Разработка</highlighttext> и поддержка сервисов на <highlighttext>Python</highlighttext> (FastAPI). Построение pipeline’ов сбора и обработки данных. Скрапинг текстовых и медиа-данных (HTML...,2026-04-18T00:28:37+0300,https://hh.ru/vacancy/131799270
132250027,Python-разработчик,180000.0,220000.0,RUR,200000.0,Sette,https://api.hh.ru/employers/12470862,От 3 до 6 лет,,,"Участие в разработке data/AI компонентов, включая RAG и LLM при наличии опыта. Требования: Опыт коммерческой разработки на Python от...",<highlighttext>Разработка</highlighttext> и развитие backend-сервисов на <highlighttext>Python</highlighttext>. Проектирование и реализация API (REST) и интеграций. Работа с высоконагруженной системой и сложной...,2026-04-17T17:37:22+0300,https://hh.ru/vacancy/132250027
132132477,Python-разработчик,,,,,Платформа Больших Данных,https://api.hh.ru/employers/5202841,От 3 до 6 лет,,,Уверенное владение Python 3.8+. Опыт разработки веб-приложений с использованием FastAPI или Django. Понимание микросервисной архитектуры и REST...,Рефакторинг и оптимизация существующих модулей. Участие в код-ревью и командной <highlighttext>разработке</highlighttext> по Git Flow. Участие в тестировании работы приложений.,2026-04-17T16:09:18+0300,https://hh.ru/vacancy/132132477
131840214,Программист Python,,,,,ВойсЛинк,https://api.hh.ru/employers/2584006,От 3 до 6 лет,,,"Опыт коммерческой разработки на Python от 3-х лет. -Понимание реляционных СУБД на базовом уровне, умение писать несложные SQL-запросы. -","Наша компания выполняет полный цикл работ по проектированию, <highlighttext>разработке</highlighttext> и внедрению IT решений для автоматизации управления транспортной инфраструктурой в масштабе...",2026-04-17T13:18:26+0300,https://hh.ru/vacancy/131840214
132236680,Python-разработчик,,,,,RDP.RU,https://api.hh.ru/employers/1710349,Более 6 лет,,,"Обязательно - python на уровне middle и java (как преимущество). Опыт в разработке: FastAPI, SQLAlcheny, requests, AsyncIO, Flask, python-iptables, IPRoute...",<highlighttext>Разработка</highlighttext> сервисов на <highlighttext>python</highlighttext> для агентов удалённого управления ОС embedded на базе дистрибутивов linux. <highlighttext>Разработка</highlighttext> и сопровождение ПО для установки...,2026-04-17T13:05:49+0300,https://hh.ru/vacancy/132236680
131176285,Senior Python developer,,,,,Платежное Решение,https://api.hh.ru/employers/10568027,Более 6 лет,,,Высокий уровень владения Python. Опыт от 3 лет коммерческой разработки в качестве разработчика ПО на крупных проектах. Опыт работы с...,"<highlighttext>Разработка</highlighttext> нового функционала и доработка существующего, тестирование и поддержка масштабируемого веб-приложения на <highlighttext>Python</highlighttext>. Участие в проектировании архитектуры приложений и...",2026-04-17T10:54:28+0300,https://hh.ru/vacancy/131176285
132232043,Разработчик Python,,,,,СБЕР,https://api.hh.ru/employers/3529,От 3 до 6 лет,,,Опыт коммерческой разработки на Python (от 3 лет). Владение инструментами контроля версий (Git). Знание паттернов и антипаттернов разработки и написания...,<highlighttext>Разработка</highlighttext> сервисов и библиотек для AI-агентов. Поддержка и развитие существующих сервисов. Проектирование детальной архитектуры и АPI для новых сервисов. ,2026-04-17T11:25:50+0300,https://hh.ru/vacancy/132232043
131928728,Python Developer,,,,,Домклик,https://api.hh.ru/employers/2136954,От 3 до 6 лет,,,"Опыт работы с MongoDB. Знание и желание применять паттерны SOLID, GRASP, CleanArchitecture и другие. Понимание алгоритмов, сложности работы функций и...","Реализовывать высоконагруженные и производительные сервисы на <highlighttext>Python</highlighttext>. Участвовать в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Интегрироваться с партнерами...",2026-04-16T18:16:35+0300,https://hh.ru/vacancy/131928728
